"Date","Line state","Last drop reason","US bitrate (Kbps)","DS bitrate (Kbps)","US FEC fast","DS FEC fast","US CRC fast","DS CRC fast","US HEC fast","DS HEC fast","US FEC interleaved","DS FEC interleaved","US CRC interleaved","DS CRC interleaved","US HEC interleaved","DS HEC interleaved","US line capacity (%)","DS line capacity (%)","US noise margin (dB)","DS noise margin (dB)","US output power (dBm)","DS output power (dBm)","US attenuation (dB)","DS attenuation (dB)","US errored seconds (ES)","DS errored seconds (ES)","US severly errored seconds (SES)","DS severly errored seconds (SES)","US unavailable seconds (UAS)","DS unavailable seconds (UAS)","TX ethernet packets","RX ethernet packets"
Feb 24 00:01:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54176965,123370075
Feb 24 00:02:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54198707,123408702
Feb 24 00:03:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54210498,123427357
Feb 24 00:04:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54215474,123436581
Feb 24 00:05:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.5,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54220096,123446520
Feb 24 00:06:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54228123,123460891
Feb 24 00:07:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54231159,123466520
Feb 24 00:08:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54236237,123475106
Feb 24 00:09:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54241583,123485210
Feb 24 00:10:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.5,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54245681,123492675
